keyword,product_name,image,price,brand,maker,product_id,category1,category2,category3,category4,mall_name,api_source,sale_price
매트리스,레이브 탄탄한 토퍼매트리스 접이식 침대 바닥 3단 수면매트 8cm MS,https://shopping-phinf.pstatic.net/main_3904805/39048051945.20230609095837.jpg,"₩139,000",레이브,제이제이코,39048051945,가구/인테리어,침실가구,매트리스,싱글매트리스,네이버,네이버,
매트리스,에이스침대 CA 원매트리스 SS,https://shopping-phinf.pstatic.net/main_4087938/4087938640.20240712182619.jpg,"₩398,520",에이스침대,에이스침대,4087938640,가구/인테리어,침실가구,매트리스,슈퍼싱글매트리스,네이버,네이버,
매트리스,수니홈 탄탄한 허리에 좋은 매트리스 3단 접이식 토퍼 바닥 수면매트 7cm MS,https://shopping-phinf.pstatic.net/main_3918091/39180910620.20240910101503.jpg,"₩139,000",수니홈,수니홈,39180910620,가구/인테리어,침실가구,매트리스,싱글매트리스,네이버,네이버,
매트리스,에이스침대 CA2 원매트리스 SS,https://shopping-phinf.pstatic.net/main_4087941/4087941370.20240712183548.jpg,"₩520,830",에이스침대,에이스침대,4087941370,가구/인테리어,침실가구,매트리스,슈퍼싱글매트리스,네이버,네이버,
매트리스,시몬스 뷰티레스트 스위트 매트리스 SS,https://shopping-phinf.pstatic.net/main_1090805/10908057254.20240723114252.jpg,"₩761,600",시몬스,시몬스,10908057254,가구/인테리어,침실가구,매트리스,슈퍼싱글매트리스,네이버,네이버,
매트리스,에이스침대 CA 원매트리스 LQ,https://shopping-phinf.pstatic.net/main_4087938/4087938847.20240722155919.jpg,"₩509,520",에이스침대,에이스침대,4087938847,가구/인테리어,침실가구,매트리스,퀸매트리스,네이버,네이버,
매트리스,에이스침대 CA2 원매트리스 LQ,https://shopping-phinf.pstatic.net/main_4087941/4087941543.20240426084335.jpg,"₩686,880",에이스침대,에이스침대,4087941543,가구/인테리어,침실가구,매트리스,퀸매트리스,네이버,네이버,
매트리스,이룸홈 토퍼 매트리스 7cm MS,https://shopping-phinf.pstatic.net/main_2980223/29802237618.20241005091040.jpg,"₩68,900",이룸홈,이룸홈,29802237618,가구/인테리어,침실가구,매트리스,싱글매트리스,네이버,네이버,
매트리스,에이스침대 AT 원매트리스 SS,https://shopping-phinf.pstatic.net/main_1646265/16462654120.20240416093733.jpg,"₩661,770",에이스침대,에이스침대,16462654120,가구/인테리어,침실가구,매트리스,슈퍼싱글매트리스,네이버,네이버,
매트리스,노르웨이숲 탄탄한 허리에 좋은 매트리스 3단 접이식 침대 토퍼 1인용 바닥 수면매트 5cm MS,https://shopping-phinf.pstatic.net/main_2599408/25994085522.20240724105131.jpg,"₩32,900",노르웨이숲,노르웨이숲,25994085522,가구/인테리어,침실가구,매트리스,싱글매트리스,네이버,네이버,
매트리스,더식스 하이브리드 메모리폼 독립스프링 매트리스 30cm SS,https://shopping-phinf.pstatic.net/main_2431391/24313919523.20220721170639.jpg,"₩250,000",더식스,더갤러리,24313919523,가구/인테리어,침실가구,매트리스,슈퍼싱글매트리스,네이버,네이버,
매트리스,아메리카나베드 3매직 베이직 롤팩 매트리스 SS,https://shopping-phinf.pstatic.net/main_2887160/28871608586.20241128101823.jpg,"₩119,900",아메리카나베드,동해,28871608586,가구/인테리어,침실가구,매트리스,슈퍼싱글매트리스,네이버,네이버,
매트리스,매트리 탄탄 26cm 하드 단단한 필로우탑 침대 매트리스 S,https://shopping-phinf.pstatic.net/main_5097224/50972247620.20241022120229.jpg,"₩97,900",매트리,매트리,50972247620,가구/인테리어,침실가구,매트리스,싱글매트리스,네이버,네이버,
매트리스,한샘 노뜨컴포트 포켓스프링 매트리스 SS,https://shopping-phinf.pstatic.net/main_2029180/20291807091.20200406113259.jpg,"₩161,000",한샘,한샘,20291807091,가구/인테리어,침실가구,매트리스,슈퍼싱글매트리스,네이버,네이버,
매트리스,센스맘 베이직 매트리스 7cm SS,https://shopping-phinf.pstatic.net/main_3550101/35501015618.20221028155824.jpg,"₩63,990",센스맘,센스맘,35501015618,가구/인테리어,침실가구,매트리스,슈퍼싱글매트리스,네이버,네이버,
