keyword,title,link,image,lprice,hprice,brand,maker,productId,category1,category2,category3,category4,mallName
가구/인테리어,북선반 스탠딩 중형 스탠드 장식장 북타워 인테리어 사다리 쇼파뒤 스틸,https://smartstore.naver.com/main/products/5215859908,https://shopping-phinf.pstatic.net/main_8276038/82760381801.3.jpg,"₩48,000",,,,82760381801,가구/인테리어,수납가구,선반,,이케아쇼핑샵
가구/인테리어,대리석 아트월 무타공 벽선반 거실인테리어 못없이선반 틈새고정 벽걸이 받침대 철제 미니선반,https://smartstore.naver.com/main/products/6041659526,https://shopping-phinf.pstatic.net/main_8358615/83586159014.jpg,"₩4,900",,,,83586159014,가구/인테리어,수납가구,선반,,베이지브라운
가구/인테리어,LED 벽선반 원목 인테리어 책장 조명선반 카페 벽걸이,https://search.shopping.naver.com/catalog/46560676989,https://shopping-phinf.pstatic.net/main_4656067/46560676989.20250317174021.jpg,"₩32,600",,,,46560676989,가구/인테리어,수납가구,선반,,네이버
가구/인테리어,아크릴 2단랙 네일선반 피규어 장식 인테리어 랙 매장 벽걸이 디스플레이,https://smartstore.naver.com/main/products/5737434699,https://shopping-phinf.pstatic.net/main_8328193/83281933451.1.jpg,"₩12,800",,,,83281933451,가구/인테리어,수납가구,선반,,선반킹
가구/인테리어,키걸이 엔틱 빈티지 우드 나무 원목 미니 벽걸이 후크 벽선반 소,https://smartstore.naver.com/main/products/4709000907,https://shopping-phinf.pstatic.net/main_8225352/82253521929.jpg,"₩17,400",,,,82253521929,가구/인테리어,수납가구,선반,,엔플로르
가구/인테리어,이케아 미니 벽걸이 선반 벽선반 원목 나무 액자 진열장 장식장 인테리어 라크,https://smartstore.naver.com/main/products/9101361827,https://shopping-phinf.pstatic.net/main_8664586/86645862150.1.jpg,"₩10,590",,이케아,이케아,86645862150,가구/인테리어,수납가구,선반,,이케아 고양몰
가구/인테리어,다이소 고무나무 벽걸이 인테리어 선반 중형 1044116,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1044116&infl_path=naver_ep,https://shopping-phinf.pstatic.net/main_4680730/46807302392.1.jpg,"₩3,000",,다이소,,46807302392,가구/인테리어,수납가구,선반,,다이소몰
가구/인테리어,잼퍼니처 월넛 원목 무지주선반 벽걸이 벽선반 인테리어 선반,https://search.shopping.naver.com/catalog/51659146567,https://shopping-phinf.pstatic.net/main_5165914/51659146567.20241213005625.jpg,"₩49,000",,,,51659146567,가구/인테리어,수납가구,선반,,네이버
가구/인테리어,파티션선반 파티션걸이 세트 45mm 60mm 원목선반 행거 인테리어 책상 사무실 오피스,https://smartstore.naver.com/main/products/2573157434,https://shopping-phinf.pstatic.net/main_8007090/80070900996.1.jpg,"₩9,800",,,,80070900996,가구/인테리어,수납가구,선반,,가구가구또가구
가구/인테리어,도디스 모듈 벽선반 벽걸이 선반 책 북 수납 600x200 주방 거실 셀프 인테리어 카페,https://search.shopping.naver.com/catalog/53251204410,https://shopping-phinf.pstatic.net/main_5325120/53251204410.20250423023342.jpg,"₩42,140",,도디스,도디스,53251204410,가구/인테리어,수납가구,선반,,네이버
