keyword,product_name,image,price,brand,maker,product_id,category1,category2,category3,category4,mall_name,api_source
매트리스,에이스침대 CA2 원매트리스 LQ,https://shopping-phinf.pstatic.net/main_4087941/4087941543.20240426084335.jpg,"₩686,880",에이스침대,에이스침대,4087941543,가구/인테리어,침실가구,매트리스,퀸매트리스,네이버,네이버
매트리스,이룸홈 토퍼 매트리스 7cm MS,https://shopping-phinf.pstatic.net/main_2980223/29802237618.20241005091040.jpg,"₩68,900",이룸홈,이룸홈,29802237618,가구/인테리어,침실가구,매트리스,싱글매트리스,네이버,네이버
매트리스,에이스침대 AT 원매트리스 SS,https://shopping-phinf.pstatic.net/main_1646265/16462654120.20240416093733.jpg,"₩661,770",에이스침대,에이스침대,16462654120,가구/인테리어,침실가구,매트리스,슈퍼싱글매트리스,네이버,네이버
매트리스,노르웨이숲 탄탄한 허리에 좋은 매트리스 3단 접이식 침대 토퍼 1인용 바닥 수면매트 5cm MS,https://shopping-phinf.pstatic.net/main_2599408/25994085522.20240724105131.jpg,"₩32,900",노르웨이숲,노르웨이숲,25994085522,가구/인테리어,침실가구,매트리스,싱글매트리스,네이버,네이버
매트리스,더식스 하이브리드 메모리폼 독립스프링 매트리스 30cm SS,https://shopping-phinf.pstatic.net/main_2431391/24313919523.20220721170639.jpg,"₩250,000",더식스,더갤러리,24313919523,가구/인테리어,침실가구,매트리스,슈퍼싱글매트리스,네이버,네이버
매트리스,아메리카나베드 3매직 베이직 롤팩 매트리스 SS,https://shopping-phinf.pstatic.net/main_2887160/28871608586.20241128101823.jpg,"₩119,900",아메리카나베드,동해,28871608586,가구/인테리어,침실가구,매트리스,슈퍼싱글매트리스,네이버,네이버
매트리스,매트리 탄탄 26cm 하드 단단한 필로우탑 침대 매트리스 S,https://shopping-phinf.pstatic.net/main_5097224/50972247620.20241022120229.jpg,"₩97,900",매트리,매트리,50972247620,가구/인테리어,침실가구,매트리스,싱글매트리스,네이버,네이버
매트리스,한샘 노뜨컴포트 포켓스프링 매트리스 SS,https://shopping-phinf.pstatic.net/main_2029180/20291807091.20200406113259.jpg,"₩161,000",한샘,한샘,20291807091,가구/인테리어,침실가구,매트리스,슈퍼싱글매트리스,네이버,네이버
매트리스,센스맘 베이직 매트리스 7cm SS,https://shopping-phinf.pstatic.net/main_3550101/35501015618.20221028155824.jpg,"₩63,990",센스맘,센스맘,35501015618,가구/인테리어,침실가구,매트리스,슈퍼싱글매트리스,네이버,네이버
매트리스,퀵슬립지큐브 Q4 롤팩 유로탑 매트리스 SS,https://shopping-phinf.pstatic.net/main_2260871/22608719528.20240508174419.jpg,"₩289,900",퀵슬립지큐브,퀵슬립,22608719528,가구/인테리어,침실가구,매트리스,슈퍼싱글매트리스,네이버,네이버
매트리스,아라홈 탄탄한 3단 접이식 매트리스 바닥 수면 매트 MS,https://shopping-phinf.pstatic.net/main_5040202/50402022618.20250107132527.jpg,"₩39,800",아라홈,아라홈,50402022618,가구/인테리어,침실가구,매트리스,싱글매트리스,네이버,네이버
매트리스,엘라비아 C4 올리버 스미스 미디엄하드 유로탑 매트리스 SS,https://shopping-phinf.pstatic.net/main_2417111/24171110524.20241122110131.jpg,"₩569,700",엘라비아,엘라비아,24171110524,가구/인테리어,침실가구,매트리스,슈퍼싱글매트리스,네이버,네이버
매트리스,웰퍼니쳐 더 매직 하드타입 매트리스 S,https://shopping-phinf.pstatic.net/main_2639223/26392230522.20211014163303.jpg,"₩208,050",웰퍼니쳐,NSB,26392230522,가구/인테리어,침실가구,매트리스,싱글매트리스,네이버,네이버
매트리스,센스맘 베이직 에어매트리스 7cm Q,https://shopping-phinf.pstatic.net/main_3550097/35500979619.20221028155734.jpg,"₩68,080",센스맘,센스맘,35500979619,가구/인테리어,침실가구,매트리스,퀸매트리스,네이버,네이버
매트리스,누보레 탄탄한 토퍼매트리스 접이식 침대 바닥 3단 수면매트 일반형 MS,https://shopping-phinf.pstatic.net/main_4955998/49559982618.20250411153144.jpg,"₩39,700",누보레,MST,49559982618,가구/인테리어,침실가구,매트리스,싱글매트리스,네이버,네이버
매트리스,퓨어셀 허리에좋은 3단 접이식 매트리스 바닥 토퍼 접는 1인용 수면매트 11cm MS,https://shopping-phinf.pstatic.net/main_4528139/45281398618.20250218111157.jpg,"₩169,000",퓨어셀,퓨어셀코리아,45281398618,가구/인테리어,침실가구,매트리스,싱글매트리스,네이버,네이버
매트리스,비투스 매트리스 오가닉 호텔 매트리스 30cm SS,https://shopping-phinf.pstatic.net/main_2574499/25744994524.20230411144642.jpg,"₩388,000",비투스 매트리스,월드베스트침대,25744994524,가구/인테리어,침실가구,매트리스,슈퍼싱글매트리스,네이버,네이버
매트리스,베스트슬립 M2 올가닉 메달리스트 매트리스 SS,https://shopping-phinf.pstatic.net/main_1774841/17748418103.20221006123610.jpg,"₩304,700",베스트슬립,베스트슬립,17748418103,가구/인테리어,침실가구,매트리스,슈퍼싱글매트리스,네이버,네이버
매트리스,이편한침대 단단한 딱딱한 베이직 침대 매트리스 MS,https://shopping-phinf.pstatic.net/main_5111819/51118195619.20241030114517.jpg,"₩139,000",이편한침대,M&C아울렛,51118195619,가구/인테리어,침실가구,매트리스,싱글매트리스,네이버,네이버
매트리스,더릭스홈 스마트폼 토퍼 매트리스 푹신한 5cm MS,https://shopping-phinf.pstatic.net/main_5095983/50959836620.20241216114902.jpg,"₩32,900",더릭스홈,더릭스,50959836620,가구/인테리어,침실가구,매트리스,싱글매트리스,네이버,네이버
매트리스,누보레 잠솔솔 탄탄한 토퍼매트리스 접이식 침대 바닥 3단 수면매트 12cm MS,https://shopping-phinf.pstatic.net/main_4433075/44330752618.20231129154520.jpg,"₩68,000",누보레,MST,44330752618,가구/인테리어,침구단품,토퍼,,네이버,네이버
소파,"우아미 윈 코너 코브라 스윙 갤럭시원단 패브릭 소파 스툴미포함, 크림, 7인용",https://shopping-phinf.pstatic.net/main_5226630/52266300618.20250103103232.jpg,"₩1,190,000",우아미,우아미,52266300618,가구/인테리어,거실가구,소파,패브릭소파,네이버,네이버
소파,"오스본가구 라티나 구스다운 헤드레스트 가죽 소파 스툴미포함, 라이트그레이, 4인용",https://shopping-phinf.pstatic.net/main_5224953/52249533618.20250102121053.jpg,"₩419,000",오스본가구,오스본코리아,52249533618,가구/인테리어,거실가구,소파,가죽소파,네이버,네이버
소파,한샘 엠마 컴포트 천연면피가죽 4인용 소파,https://shopping-phinf.pstatic.net/main_2485911/24859111522.20201116100125.jpg,"₩1,016,560",한샘,한샘,24859111522,가구/인테리어,거실가구,소파,가죽소파,네이버,네이버
소파,클렙튼 1인용 리클라이너 소파 전동 K05M,https://shopping-phinf.pstatic.net/main_2792711/27927112522.20210714133301.jpg,"₩244,000",클렙튼,클렙튼,27927112522,가구/인테리어,거실가구,소파,리클라이너소파,네이버,네이버
소파,헤이미쉬홈 몽드 4인용 아쿠아텍스 이지클린 조야 패브릭 스윙 소파,https://shopping-phinf.pstatic.net/main_4125176/41251767618.20230718090549.jpg,"₩649,000",헤이미쉬홈,헤이미쉬홈,41251767618,가구/인테리어,거실가구,소파,패브릭소파,네이버,네이버
소파,웰퍼니쳐 몬스터 사하라 아쿠아텍스 패브릭 4인용 소파,https://shopping-phinf.pstatic.net/main_2769763/27697634522.20250328150803.jpg,"₩539,000",웰퍼니쳐,아이웰,27697634522,가구/인테리어,거실가구,소파,패브릭소파,네이버,네이버
소파,웰퍼니쳐 몬스터 사하라 아쿠아텍스 3인용 패브릭 소파,https://shopping-phinf.pstatic.net/main_2769746/27697464522.20250404095157.jpg,"₩359,000",웰퍼니쳐,아이웰,27697464522,가구/인테리어,거실가구,소파,패브릭소파,네이버,네이버
소파,에보니아 리도 컵홀더 3인용 패브릭룩 방수가죽 소파베드,https://shopping-phinf.pstatic.net/main_1622272/16222724296.20200824143542.jpg,"₩169,000",에보니아,에보니아,16222724296,가구/인테리어,거실가구,소파,소파베드,네이버,네이버
소파,싯존 에르모소 1인용 리클라이너 소파,https://shopping-phinf.pstatic.net/main_3562085/35620859618.20250102144146.jpg,"₩279,000",싯존,파파야마켓,35620859618,가구/인테리어,거실가구,소파,리클라이너소파,네이버,네이버
소파,에보니아 라인 패브릭 방수원단 3인 독립형 소파베드,https://shopping-phinf.pstatic.net/main_1454069/14540693472.20200810153349.jpg,"₩151,530",에보니아,에보니아,14540693472,가구/인테리어,거실가구,소파,소파베드,네이버,네이버
소파,아르셰 모찌 1인용 빈백 소파,https://shopping-phinf.pstatic.net/main_1748475/17484753831.20240612101413.jpg,"₩79,000",아르셰,오비유,17484753831,가구/인테리어,거실가구,소파,빈백,네이버,네이버
